Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
1,Brenden Aaronson,us USA,MF,Leeds United,eng Premier League,25.0,2000,3,2,155,1.7,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1,us USA,MF,eng Premier League,25-327,2000,1.7,0,1,1,100.0,0.58,0.58,0.00,0.00,0,0,1,us USA,MF,eng Premier League,25-327,2000,3,155,52,57.4,1.7,2,63,0,1,29,0,1.67,0,2,-2,-1.16,-3.51,1,us USA,MF,eng Premier League,25-327,2000,1.7,0,0,0,0,5,0,0,0,2,0
2,Haitam Abaida,ma MAR,FW,Málaga,es La Liga,24.0,2002,2,0,35,0.4,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2,ma MAR,FW,es La Liga,24-105,2002,0.4,0,3,0,0.0,7.71,0.00,0.00,,0,0,2,ma MAR,FW,es La Liga,24-105,2002,2,35,18,7.8,0.4,0,,0,2,18,1,0.50,0,1,-1,-2.57,-1.49,2,ma MAR,FW,es La Liga,24-105,2002,0.4,0,0,0,1,2,0,6,0,0,0
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,22.0,2004,3,3,255,2.8,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,3,ie IRL,DF,it Serie A,22-241,2004,2.8,0,0,0,,0.00,0.00,,,0,0,3,ie IRL,DF,it Serie A,22-241,2004,3,255,85,94.4,2.8,3,85,2,0,,0,1.33,5,4,+1,+0.35,+6.35,3,ie IRL,DF,it Serie A,22-241,2004,2.8,1,0,0,5,2,0,1,1,5,0
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,20.0,2006,4,0,97,1.1,1,0,1,1,0,0,0,0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,4,fr FRA,FW,fr Ligue 1,20-162,2006,1.1,1,5,2,40.0,4.64,1.86,0.20,0.50,0,0,5,fr FRA,FW,fr Ligue 1,20-162,2006,4,97,24,26.9,1.1,0,,0,4,24,0,0.75,2,2,0,0.00,0.00,4,fr FRA,FW,fr Ligue 1,20-162,2006,1.1,0,0,0,2,2,0,10,0,0,0
5,Hamza Abdelkarim,eg EGY,FW,Barcelona,es La Liga,18.0,2008,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,5,eg EGY,FW,es La Liga,18-256,2008,0.1,0,0,0,,0.00,0.00,,,0,0,6,eg EGY,FW,es La Liga,18-256,2008,1,5,5,1.1,0.1,0,,0,1,5,4,3.00,1,0,+1,+18.00,+14.76,5,eg EGY,FW,es La Liga,18-256,2008,0.1,0,0,0,0,1,0,0,0,0,0
6,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,3,2,151,1.7,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,6,ma MAR,"MF,FW",es La Liga,20-245,2006,1.7,0,3,1,33.3,1.79,0.60,0.00,0.00,0,0,7,ma MAR,"MF,FW",es La Liga,20-245,2006,3,151,50,28.0,1.7,2,63,0,1,26,2,0.67,1,1,0,0.00,+0.69,6,ma MAR,"MF,FW",es La Liga,20-245,2006,1.7,0,0,0,4,1,2,6,0,0,0
7,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26.0,1999,4,4,293,3.3,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,7,dz ALG,MF,fr Ligue 1,26-301,1999,3.3,0,1,0,0.0,0.31,0.00,0.00,,0,0,8,dz ALG,MF,fr Ligue 1,26-301,1999,4,293,73,81.4,3.3,4,73,0,0,,0,0.75,4,5,-1,-0.31,-1.65,7,dz ALG,MF,fr Ligue 1,26-301,1999,3.3,1,0,0,4,2,1,1,0,4,0
8,Mohamed Abdelmonem,eg EGY,DF,Nice,fr Ligue 1,27.0,1999,4,3,250,2.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,8,eg EGY,DF,fr Ligue 1,27-225,1999,2.8,0,3,0,0.0,1.08,0.00,0.00,,0,0,9,eg EGY,DF,fr Ligue 1,27-225,1999,4,250,63,69.4,2.8,3,82,1,1,3,0,0.50,1,4,-3,-1.08,-0.26,8,eg EGY,DF,fr Ligue 1,27-225,1999,2.8,0,0,0,1,2,0,2,3,5,0
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32.0,1993,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,9,tn TUN,"DF,MF",fr Ligue 1,32-268,1993,0.4,0,0,0,,0.00,0.00,,,0,0,10,tn TUN,"DF,MF",fr Ligue 1,32-268,1993,2,37,19,10.3,0.4,0,,0,2,19,0,0.50,0,1,-1,-2.43,-1.60,9,tn TUN,"DF,MF",fr Ligue 1,32-268,1993,0.4,0,0,0,1,0,0,1,0,1,0
10,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,27.0,1999,1,1,61,0.7,1,0,1,1,0,0,0,0,1.48,,,,,,,,,,,,,,,,,,,,,,,,,10,sa KSA,MF,fr Ligue 1,27-058,1999,0.7,1,1,1,100.0,1.48,1.48,1.00,1.00,0,0,11,sa KSA,MF,fr Ligue 1,27-058,1999,1,61,61,16.9,0.7,1,61,0,0,,0,3.00,3,1,+2,+2.95,+3.25,10,sa KSA,MF,fr Ligue 1,27-058,1999,0.7,0,0,0,1,1,0,0,2,1,0
11,Matthis Abline,fr FRA,"FW,MF",Monaco,fr Ligue 1,23.0,2003,3,0,97,1.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,11,fr FRA,"FW,MF",fr Ligue 1,23-170,2003,1.1,0,0,0,,0.00,0.00,,,0,0,12,fr FRA,"FW,MF",fr Ligue 1,23-170,2003,3,97,32,26.9,1.1,0,,0,3,32,0,2.33,1,1,0,0.00,-1.37,11,fr FRA,"FW,MF",fr Ligue 1,23-170,2003,1.1,0,0,0,0,0,0,2,2,0,0
12,Abner,br BRA,DF,Lyon,fr Ligue 1,26.0,2000,3,2,191,2.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,12,br BRA,DF,fr Ligue 1,26-110,2000,2.1,0,0,0,,0.00,0.00,,,0,0,13,br BRA,DF,fr Ligue 1,26-110,2000,3,191,64,53.1,2.1,2,90,2,1,11,0,1.67,4,1,+3,+1.41,+0.88,12,br BRA,DF,fr Ligue 1,26-110,2000,2.1,0,0,0,2,3,0,5,0,0,0
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,26.0,2000,2,0,28,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,13,ma MAR,"FW,MF",it Serie A,26-208,2000,0.3,0,2,0,0.0,6.43,0.00,0.00,,0,0,14,ma MAR,"FW,MF",it Serie A,26-208,2000,2,28,14,10.4,0.3,0,,0,2,14,1,0.00,1,1,0,0.00,+0.37,13,ma MAR,"FW,MF",it Serie A,26-208,2000,0.3,0,0,0,2,0,0,0,0,0,0
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27.0,1999,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,14,ma MAR,DF,es La Liga,27-188,1999,1.0,0,0,0,,0.00,0.00,,,0,0,15,ma MAR,DF,es La Liga,27-188,1999,2,91,46,20.2,1.0,1,90,1,1,1,0,1.50,0,3,-3,-2.97,-2.97,14,ma MAR,DF,es La Liga,27-188,1999,1.0,0,0,0,1,1,0,0,1,1,0
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28.0,1997,3,0,71,0.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,15,eng ENG,FW,eng Premier League,28-347,1997,0.8,0,0,0,,0.00,0.00,,,0,0,17,eng ENG,FW,eng Premier League,28-347,1997,3,71,24,19.7,0.8,0,,0,3,24,0,0.33,1,1,0,0.00,+1.87,15,eng ENG,FW,eng Premier League,28-347,1997,0.8,0,0,0,0,0,0,0,0,0,0
16,Ragnar Ache,de GER,FW,Köln,de Bundesliga,28.0,1998,3,2,165,1.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,16,de GER,FW,de Bundesliga,28-048,1998,1.8,0,5,0,0.0,2.73,0.00,0.00,,0,0,18,de GER,FW,de Bundesliga,28-048,1998,3,165,55,61.1,1.8,2,69,0,1,27,0,1.33,1,5,-4,-2.18,-3.90,16,de GER,FW,de Bundesliga,28-048,1998,1.8,0,0,0,0,5,0,0,0,0,0
